,title,casts,description
73,飞龙杀手,"刘家辉,潘秀燕,尹一龙,纪日亮","简介：静玉是一个幼稚园教师,为人纯良和善而且充满爱心,但可惜却遇一件事,令她平淡的生活产生极大的变化,原来某日Siti看到一个杀手李复似行凶经过,最奇怪的是见到李复杀...详情"
74,夺宝风云,"归亚蕾,关聪",简介：巴黎珠宝展览一个晚上被几名匪徒打劫，未有破案，数年后在一个高档住宅发现一个中风坐轮椅老人，警方最后在此住宅内，将一干犯人都扣回警署去问话。 令他们想不到的是这起...详情
75,三十六迷影拳,"梁小熊,刘家勇",简介：王大刚被赌馆中人当街痛揍一顿，狼狈不堪，幸得笑林弟子相救，随后笑林弟子又结识王大刚姐姐，才得知大刚父亲是被赌馆中的流氓迫害致死。笑林二弟子同意带王大刚上山拜师学...详情
76,轰天绑架大富豪,"吕良伟,叶童,于荣光,林国斌,雷宇扬,张耀扬",简介：大富豪语录“我最恐惧的不是死，而是穷”。　　世界犯罪集团大起底，本世纪的智能型罪案专家挑衅中港公仆。　　绰号‘大富豪’的大贼王戴富强（影射张子强），专门从事大型...详情
77,天音琴魔,"樊少皇,梁家仁,谭小环",简介：天音山庄少主双德离家出走，偶得克制邪王的天外飞仙经书中一本。而所后邪王徒弟青儿和采儿来夺书，却双双爱上双德。双德开始用琴声帮助二女消灭妖气。那边厢，邪王已是血洗...详情
78,向左搞向右搞,"苏志威,吴奕龙,颜仟汶",简介：懦弱的肥Sam因在成长中不停被女性欺负，骨子里早已变成同性恋一天，实习天使阿晴不慎堕下凡间，获Sam救回一命，便成全Sam的心愿，把他变成一个超性感美少女但阿晴...详情
79,一条龙,"卫子云,孟婷,易原,柯佑民,孙越,吳燕,雷鸣,柯受良",简介：陈百瑞因杀人获释后，必须决定是否帮助父亲对抗当地的犯罪团伙，这些团伙正试图迫使他离开自己的家。如果他留下来打架，他就有可能回到监狱-如果他走了…哦，来吧。他不会...详情
80,小和尚捉妖,"龚万兴,尤国栋,小高山,何兴南,尤国华,",简介：影片讲述一个小和尚斗智斗勇捉妖的故事...详情
81,卧虎传说,"林雪,吴毅将,梁焯满,许绍雄",简介：繁华的香港十里场鱼龙混杂，邪恶势力占据一方，正邪之间各显看家本领，黑白两道虚实无间掀起幕后重重黑雾。性感艳丽的女杀手阿俪和PETER在完成一次任务后，遭到金毛强...详情
82,武神黑侠,"樊少皇,郑佩佩,高飞,钟淑慧,谭筠怡,梁焯满,Ritsuko,Nagai",简介：传天明是电脑奇才，他的姑姐传安娜是他的私人秘书。每当”赤神帮“犯罪时传天明便会变成黑侠对付他们。 一次行动中，”赤神帮“在监狱中救了首领赤神，更偷走了”依波拉“...详情
83,耀武扬威,",尹天照,关宝慧,梁绰满,吴华新",简介：黑道人物耀武（尹天照 饰）出狱后，到底会有何动作?十年前，耀武因替社团执行任务而被捕，而且更导致左脚不良于行，江湖中人一般也相信他此番出狱，必定重新招兵买马，取...详情
